goods_no,category,base_cat,brand,brand_name,title,style_no,similar_no,gender,season,season_year,thumbnail,price_normal,price_final,review_count,review_score,purchase_total,page_view,fit,touch,elasticity,sheer,thickness,wear_season,color_codes,sizes,gallery,tags,size_type,size_measures,survey,ai_summary,ingest_tag,fetched_at
3750207,001010,001010,topten,탑텐,여성) 오가닉 코튼 크루넥 긴팔티_MSE5TS2901,MSE5TS2901,0,여성,2,2023,https://image.msscdn.net/images/goods_img/20231208/3750207/3750207_17222387445964_500.jpg,19900,9900,77,94,683,206,,,,,,,{48},"{BK^100,BK^105,BK^110,BK^85,BK^90,BK^95,CO^100,CO^105,CO^110,CO^85,CO^90,CO^95,CR^100,CR^105,CR^110,CR^85,CR^90,CR^95,DBL^100,DBL^105,DBL^110,DBL^85,DBL^90,DBL^95,PP^100,PP^105,PP^110,PP^85,PP^90,PP^95,WT^100,WT^105,WT^110,WT^85,WT^90,WT^95}","{/images/prd_img/20231208/3750207/detail_3750207_17020177340948_500.jpg,/images/prd_img/20231208/3750207/detail_3750207_17020177346036_500.jpg,/images/prd_img/20231208/3750207/detail_3750207_17020177350458_500.jpg,/images/prd_img/20231208/3750207/detail_3750207_17020177354899_500.jpg,/images/prd_img/20231208/3750207/detail_3750207_17020177376697_500.jpg}",,,,"{""questions"": []}",,,2026-08-12 03:47:03.50325+00
3752836,001010,001010,topten,탑텐,공용) 오가닉 크루넥 긴팔티_MSE5TS3911,MSE5TS3911,0,남성,2,2023,https://image.msscdn.net/images/goods_img/20231212/3752836/3752836_17023486592722_500.jpg,19900,9900,115,96,559,445,,,,,,,{2},"{BK^100,BK^105,BK^110,BK^115,BK^120,BK^90,BK^95,DBL^100,DBL^105,DBL^110,DBL^115,DBL^120,DBL^90,DBL^95,KGR^100,KGR^105,KGR^110,KGR^115,KGR^120,KGR^90,KGR^95,LBL^100,LBL^105,LBL^110,LBL^115,LBL^120,LBL^90,LBL^95,WT^100,WT^105,WT^110,WT^115,WT^120,WT^90,WT^95,YE^100,YE^105,YE^110,YE^115,YE^120,YE^90,YE^95}","{/images/prd_img/20231212/3752836/detail_3752836_17023486610883_500.jpg,/images/prd_img/20231212/3752836/detail_3752836_17023486615757_500.jpg,/images/prd_img/20231212/3752836/detail_3752836_17023486621272_500.jpg,/images/prd_img/20231212/3752836/detail_3752836_17023486626041_500.jpg,/images/prd_img/20231212/3752836/detail_3752836_17023486656145_500.jpg}",,,,"{""questions"": []}",,,2026-08-12 03:47:03.50325+00
3972105,001010,001010,topten,탑텐,남성) 퀵드라이 긴팔티_MBE5TS1260,MBE5TS1260,0,남성,1,2024,https://image.msscdn.net/images/goods_img/20240320/3972105/3972105_17110887756341_500.jpg,29900,9900,4,100,0,430,,,,,,,"{1,2,6,80}","{BK^730,BK^740,BK^750,BK^760,BK^770,DBL^730,DBL^740,DBL^750,DBL^760,DBL^770,GN^730,GN^740,GN^750,GN^760,GN^770,WT^730,WT^740,WT^750,WT^760,WT^770}","{/images/prd_img/20240320/3972105/detail_3972105_17109169858558_500.jpg,/images/prd_img/20240320/3972105/detail_3972105_17109169863691_500.jpg,/images/prd_img/20240320/3972105/detail_3972105_17109169867825_500.jpg,/images/prd_img/20240320/3972105/detail_3972105_17109169872330_500.jpg,/images/prd_img/20240320/3972105/detail_3972105_17109169876057_500.jpg,/images/prd_img/20240320/3972105/detail_3972105_17109169880246_500.jpg}",{쿨링},,,"{""questions"": []}",,,2026-08-12 03:47:03.50325+00
3972709,001001,017016005,topten,탑텐,남성) 쿨에어 코튼 반팔 티_MBE5TS1290,MBE5TS1290,0,남성,1,2024,https://image.msscdn.net/images/goods_img/20240320/3972709/3972709_17109207111523_500.jpg,29900,12900,36,96,198,850,,,,,,,{3},"{BK^710,BK^720,BK^730,BK^740,BK^750,BK^760,BK^770,LGR^710,LGR^720,LGR^730,LGR^740,LGR^750,LGR^760,LGR^770,LMT^710,LMT^720,LMT^730,LMT^740,LMT^750,LMT^760,LMT^770,LPP^710,LPP^720,LPP^730,LPP^740,LPP^750,LPP^760,LPP^770,NV^710,NV^720,NV^730,NV^740,NV^750,NV^760,NV^770,WT^710,WT^720,WT^730,WT^740,WT^750,WT^760,WT^770}","{/images/prd_img/20240320/3972709/detail_3972709_17109207125289_500.jpg,/images/prd_img/20240320/3972709/detail_3972709_17109207134873_500.jpg,/images/prd_img/20240320/3972709/detail_3972709_17109207143063_500.jpg,/images/prd_img/20240320/3972709/detail_3972709_17109207146367_500.jpg}",{쿨아이템},,,"{""questions"": []}","{""goodsNo"": 3972709, ""isShared"": false, ""reaction"": {}, ""keywordSummaries"": [], ""sentimentSummary"": {""negative"": ""일부 후기에서는 사이즈가 다르게 느껴진다고 해요. 가끔 네이비 색상이 작아서 한 치수 큰 걸 구매해야 한다고 해요. 드물지만 사이즈 표기가 이상하다는 의견이 있어요."", ""positive"": ""원단이 좋아서 시원하고 편하게 입기 좋아요. 사이즈는 정사이즈로 잘 맞고, 한 치수 작게 입어도 괜찮아요. 디자인이 깔끔하고 색상이 예뻐요. 땀 흡수도 잘 돼서 운동할 때 착용하기 좋아요. 가격 대비 재질이 뛰어나서 재구매 의사가 높아요.""}}",,2026-08-12 03:47:03.50325+00
3972720,001001,017016005,topten,탑텐,여성) 쿨에어 코튼 반팔 티_MBE5TS2290,MBE5TS2290,0,여성,1,2024,https://image.msscdn.net/images/goods_img/20240320/3972720/3972720_17116990683537_500.jpg,19900,9900,23,98,90,624,,,,,,,{3},"{BK^810,BK^820,BK^830,BK^840,BK^850,BK^860,BK^870,DPK^820,DPK^830,DPK^840,DPK^850,DPK^860,DPK^870,LBL^820,LBL^830,LBL^840,LBL^850,LBL^860,LBL^870,MGR^820,MGR^830,MGR^840,MGR^850,MGR^860,MGR^870,WT^820,WT^830,WT^840,WT^850,WT^860,WT^870}","{/images/prd_img/20240320/3972720/detail_3972720_17109207445149_500.jpg,/images/prd_img/20240320/3972720/detail_3972720_17109207449160_500.jpg,/images/prd_img/20240320/3972720/detail_3972720_17109207452875_500.jpg,/images/prd_img/20240320/3972720/detail_3972720_17109207460589_500.jpg,/images/prd_img/20240320/3972720/detail_3972720_17109207464001_500.jpg}",{쿨아이템},,,"{""questions"": []}",,,2026-08-12 03:47:03.50325+00
3999647,001001,017016005,topten,탑텐,여성) 에센셜 크롭 반팔 티_MBE5TS2203,MBE5TS2203,0,여성,1,2024,https://image.msscdn.net/images/goods_img/20240328/3999647/3999647_17206803059816_500.jpg,29900,9900,55,96,330,778,,,,,,,{10},"{BK^810,BK^820,BK^830,BK^840,BK^850,BK^860,BK^870,CR^810,CR^820,CR^830,CR^840,CR^850,PK^810,PK^820,PK^830,PK^840,PK^850,KH^810,KH^820,KH^830,KH^840,KH^850}","{/images/prd_img/20240328/3999647/detail_3999647_17115900199649_500.jpg,/images/prd_img/20240328/3999647/detail_3999647_17115900204701_500.jpg,/images/prd_img/20240328/3999647/detail_3999647_17721739418104_500.jpg}",,,,"{""questions"": []}","{""goodsNo"": 3999647, ""isShared"": false, ""reaction"": {}, ""keywordSummaries"": [], ""sentimentSummary"": {""negative"": ""가끔 밝은 색상은 비침이 있어 속옷에 신경 써야 해요. 일부 후기에서는 크롭 기장이 짧아서 불편하다고 해요. 때때로 소재가 얇아서 비치는 경우가 있어요."", ""positive"": ""소재가 부드럽고 시원해서 운동할 때 착용하기 좋아요. 핏이 슬림하게 잘 맞고, 크롭 기장이 과하지 않아서 편안해요. 가격 대비 퀄리티가 좋고, 저렴하게 구매할 수 있어 만족스러워요. 운동할 때 몸에 밀착되어 안정감이 있어요. 배송이 빠르고 정사이즈로 잘 맞아요.""}}",,2026-08-12 03:47:03.50325+00
3999648,001001,017016005,topten,탑텐,여성) 퀵드라이 그래픽 크롭 반팔 티_MBE5TS2208,MBE5TS2208,0,여성,1,2024,https://image.msscdn.net/images/goods_img/20240328/3999648/3999648_17206786224485_500.jpg,29900,9900,15,100,67,359,,,,,,,{3},"{BK^810,BK^820,BK^830,BK^840,BK^850,BK^860,BK^870,DPK^820,DPK^830,DPK^840,DPK^850,DPK^860,OWT^820,OWT^830,OWT^840,OWT^850,OWT^860}",{/images/prd_img/20240328/3999648/detail_3999648_17115900263383_500.jpg},,,,"{""questions"": []}",,,2026-08-12 03:47:03.50325+00
3999658,001001,017016005,topten,탑텐,여성) 에센셜 반팔 티_MBE5TS2211,MBE5TS2211,0,여성,1,2024,https://image.msscdn.net/images/goods_img/20240328/3999658/3999658_17286221214808_500.jpg,29900,12900,57,98,284,655,,,,,,,{1},"{OWT^810,OWT^820,OWT^830,OWT^840,OWT^850,OWT^860,OWT^870,BK^810,BK^820,BK^830,BK^840,BK^850,BK^860,BK^870,LPK^810,LPK^820,LPK^830,LPK^840,LPK^850,LPK^860,LPK^870}",,,,,"{""questions"": []}","{""goodsNo"": 3999658, ""isShared"": false, ""reaction"": {}, ""keywordSummaries"": [], ""sentimentSummary"": {""negative"": ""가끔 사이즈가 작게 나와서 한 치수 크게 사는 것이 좋다고 해요. 일부 후기에서는 비침이 있다고 언급했어요."", ""positive"": ""가성비가 뛰어나요. 재질이 부드럽고 촉감이 좋아요. 운동할 때 땀 흡수력이 우수해요. 핏이 예쁘고 슬림하게 잘 맞아요. 여름에 입기 시원하고 가벼워요.""}}",,2026-08-12 03:47:03.50325+00
4104613,001001,001001,owo,오우오,비치골지T,W4M42TS12,0,여성,1,2024,https://image.msscdn.net/images/goods_img/20240503/4104613/4104613_17507356465937_500.jpg,39000,39000,0,0,0,0,,,,,,,"{1,2,7}","{블랙^FREE,블루^FREE,화이트^FREE}",,,5,"[{""name"": ""화이트"", ""items"": [{""name"": ""총장"", ""value"": 0.0, ""recommendSizeRange"": 5}, {""name"": ""어깨너비"", ""value"": 0.0, ""recommendSizeRange"": 5}, {""name"": ""가슴단면"", ""value"": 0.0, ""recommendSizeRange"": 5}, {""name"": ""소매길이"", ""value"": 0.0, ""recommendSizeRange"": 5}]}, {""name"": ""블랙"", ""items"": [{""name"": ""총장"", ""value"": 0.0, ""recommendSizeRange"": 5}, {""name"": ""어깨너비"", ""value"": 0.0, ""recommendSizeRange"": 5}, {""name"": ""가슴단면"", ""value"": 0.0, ""recommendSizeRange"": 5}, {""name"": ""소매길이"", ""value"": 0.0, ""recommendSizeRange"": 5}]}, {""name"": ""블루"", ""items"": [{""name"": ""총장"", ""value"": 0.0, ""recommendSizeRange"": 5}, {""name"": ""어깨너비"", ""value"": 0.0, ""recommendSizeRange"": 5}, {""name"": ""가슴단면"", ""value"": 0.0, ""recommendSizeRange"": 5}, {""name"": ""소매길이"", ""value"": 0.0, ""recommendSizeRange"": 5}]}]",,,,2026-08-12 03:47:03.50325+00
4144505,001001,001001,netsocialclub,넷소셜클럽,싸이버 보이 반팔티 (블랙),NSB4STST23ABK,4144505,여성,1,2024,https://image.msscdn.net/images/goods_img/20240521/4144505/4144505_17210346899502_500.jpg,43000,19900,1,80,0,180,레귤러,보통,보통,보통,보통,"봄,여름",{2},"{BLACK^L,BLACK^M,BLACK^S,BLACK^XL}","{/images/prd_img/20240521/4144505/detail_4144505_17829578245301_500.jpg,/images/prd_img/20240521/4144505/detail_4144505_17822916466972_500.jpg}","{반소매,반소매티셔츠,반팔티,반팔티셔츠,반팔티추천,여름반팔,티셔츠}",5,"[{""name"": ""S"", ""items"": [{""name"": ""총장"", ""value"": 68.5, ""recommendSizeRange"": 5}, {""name"": ""어깨너비"", ""value"": 52.0, ""recommendSizeRange"": 5}, {""name"": ""가슴단면"", ""value"": 55.0, ""recommendSizeRange"": 5}, {""name"": ""소매길이"", ""value"": 21.0, ""recommendSizeRange"": 5}]}, {""name"": ""M"", ""items"": [{""name"": ""총장"", ""value"": 71.0, ""recommendSizeRange"": 5}, {""name"": ""어깨너비"", ""value"": 54.0, ""recommendSizeRange"": 5}, {""name"": ""가슴단면"", ""value"": 58.0, ""recommendSizeRange"": 5}, {""name"": ""소매길이"", ""value"": 21.0, ""recommendSizeRange"": 5}]}, {""name"": ""L"", ""items"": [{""name"": ""총장"", ""value"": 73.5, ""recommendSizeRange"": 5}, {""name"": ""어깨너비"", ""value"": 56.0, ""recommendSizeRange"": 5}, {""name"": ""가슴단면"", ""value"": 61.0, ""recommendSizeRange"": 5}, {""name"": ""소매길이"", ""value"": 22.0, ""recommendSizeRange"": 5}]}, {""name"": ""XL"", ""items"": [{""name"": ""총장"", ""value"": 76.0, ""recommendSizeRange"": 5}, {""name"": ""어깨너비"", ""value"": 58.0, ""recommendSizeRange"": 5}, {""name"": ""가슴단면"", ""value"": 64.0, ""recommendSizeRange"": 5}, {""name"": ""소매길이"", ""value"": 23.0, ""recommendSizeRange"": 5}]}]","{""questions"": []}",,,2026-08-12 03:47:03.50325+00
