goods_no,p_female,brand_name,title
6199997,0.0986,프로-스펙스,남성 울트라라이트 메쉬 민소매
3188962,0.0975,어레이드,컴피 오버사이즈 래글런 후디 [NAVY]
853753,0.0972,리스펙트,오버핏 스트라이프 단가라 티 (블랙)
2231614,0.0966,레이버러스,베이직 로고 티셔츠 오렌지
3274393,0.0951,드로우핏,블루베리 프린팅 티셔츠 [WHITE]
4148999,0.0950,그리디어스,Blue Clover Print Short Sleeve
5547780,0.0931,씨웨어 바이 더 지니어스,맨즈 크롭 롱 슬리브 티셔츠 카키
6810443,0.0931,에잇세컨즈,데일리 바서티 그래픽 반소매티  그레이
2764216,0.0899,더블유브이프로젝트,컬러인 후드 오트밀 MJHD7622
4149724,0.0899,그리디어스,Pink Issue 02 TEE
1321724,0.0890,우빙,BUCKLE UP HOODIE (GRAY)
6507899,0.0855,르아르,링거 포인트 그래픽 티셔츠 [블랙]
3183372,0.0829,프롬아를,80S 빈티지 슬리브리스 / 플라워
5254978,0.0828,모어댄블랙,NEW CUT OFF SLEEVELESS - BLACK
5397833,0.0824,쿠르베,Long Sleeve Zip Polo Shirt (Black)
4177697,0.0822,아날로그무드,린넨 쿨링 폴로 셔츠 (베이지)
5840573,0.0806,챕터엑스,베이직 트레커 하프집업 스트레치 후디 (Khaki)
4177692,0.0768,아날로그무드,린넨 쿨링 폴로 셔츠 (그레이)
5878022,0.0764,밀리토라,lot. 924 헨리 롱 슬리브 셔츠
2571798,0.0754,에드워드맥스,피치버그 피그먼트 티셔츠
3286019,0.0750,프롬아를,슬리브리스 코튼 티셔츠 / 아가일
6810397,0.0750,에잇세컨즈,데일리 스웨트 슬리브리스  블랙
6574963,0.0748,레씨토,Veil Mesh Layered T-Shirt_[Black]
6647619,0.0745,언티지,와이드 숄더 실키 민소매 티셔츠[Burgundy(UNISEX)]_UTT-ST73
2329977,0.0708,리스펙트,jobs tee (White)
2036352,0.0641,크리브나인,필드 포인트 카라 티셔츠
6323050,0.0641,히피하우스,Red Stripe Sleeve T-shirt
5028096,0.0612,유에프씨 스포츠,UFC 프라이드 컴뱃 릴렉스핏 반팔 티셔츠 화이트 U2SSW2109WH
4976299,0.0561,페이크캠퍼,베이직 피그먼트 반팔 티셔츠 [CHACOAL]
6606642,0.0536,드마크,M rough text-logo boxy sleeveless - White
5075533,0.0535,테일러메이드 어패럴,남성 빅레터링 비대칭 소매 카라 반팔 티셔츠 T8031TO2243-100
4053258,0.0516,노이어,[2PACK] 스퀘어 넥 니트 슬리브리스 (5 Color)
2573504,0.0500,에드워드맥스,브룩라인 PK 폴로칼라 티셔츠
1902741,0.0348,가까이 유니언즈,피아체 반팔 티셔츠 딥그레이
5252530,0.0258,쿠르베,Wed Sleeceless (White)
5127754,0.0243,마크엠,슬로건 프린팅 맨투맨 (MJIBI8709)
