goods_no,p_female,brand_name,title
6025300,0.9978,데상트골프,남여공용 그래픽 라운드 반팔티  DR22MFNS4Z
5989830,0.9973,디스커버리 익스페디션,여성 로고포인트 러닝 티셔츠 (CREAM)
5457158,0.9972,엠페브,틴샷 25 싱글 스트랩 탑 블랙
6417395,0.9971,굿라이프웍스,[unisex] 베이직 링거 반팔 티셔츠 그레이
4966564,0.9970,이카룩,여성 봄 가을 솔리드 스판 스포츠 이너웨어 TEE200
6043764,0.9970,디스커버리 익스페디션,여성 프레시벤트 경량 우븐 트레이닝 반팔 후드 아노락 (D/IVORY)
2676325,0.9969,플레이몬스터,남녀공용 오버핏 반팔티셔츠
1139841,0.9968,320쇼룸,페미닌 브이넥 핀턱 랩 티셔츠 크림
4426865,0.9968,다운블로우,여자스포츠 골프웨어 반집업긴팔티셔츠 9005W
5457159,0.9968,엠페브,틴샷 25 싱글 스트랩 탑 화이트
5989829,0.9968,디스커버리 익스페디션,여성 기능성 러닝 티셔츠 (WHITE)
6409537,0.9967,르꼬끄,유니 냉감 슬럽 반팔티 - 블루 QR213ERS65
6270128,0.9966,체이스컬트,공용 레터링 반팔 티셔츠-FBZU5802C0B
6097867,0.9965,르꼬끄,유니 르프레쉬 슬럽 반팔티 - 올리브 QR213ERS41
6486395,0.9965,유라이프지,베르엘 와플 헨리넥 반팔 티셔츠 3 Color [ULSR_1001]
6680297,0.9965,베이직하우스,여성 모달 스판 보트넥 슬림핏 반팔티셔츠 화이트
6680300,0.9965,베이직하우스,여성 모달 스판 U넥 슬림핏 반팔티셔츠 다크그레이
6799457,0.9965,언더아머,UA 모션 피티드6013774-100
6253201,0.9964,르꼬끄,유니 냉감 트리코트 백그래픽 반팔티 - 화이트 QR223ERS55
6270160,0.9964,체이스컬트,공용 레트로 그래픽 반팔 티셔츠-FBZU5804C05
4190577,0.9963,낫유즈얼,토마토샵 반팔티 [NAVY]
5293330,0.9963,케이스위스,[UNISEX] 클래식66 코트 스케치 반팔 티_1KSTSFU905IV
5953713,0.9963,디스커버리 익스페디션,여성 프레시벤트 네이처 그래픽 반팔티 (D.GREY)
6014553,0.9963,펭귄 바이 먼싱웨어,여성 에센셜 카라 티셔츠 화이트 MR122PTS35
6516628,0.9963,낫유즈얼,유즈얼 오버핏 피그먼트 반팔티 5color
5173100,0.9962,유라이프지,브루클린 우먼 오버핏 트랙 브이넥 반팔티 4 Color [ULZV_5607]
5989826,0.9962,디스커버리 익스페디션,여성 기능성 러닝 티셔츠 (BLACK)
6014555,0.9961,펭귄 바이 먼싱웨어,여성 에센셜 라운드 티셔츠 화이트 MR122PTS34
6227668,0.9961,휠라,테니스 Drywave 레이피케 반팔티(FS262RS11U003462)
6227790,0.9961,휠라,테니스 Drywave 레이피케 반팔티(FS262RS11U003462)
5897294,0.9960,그루브라임,여성  분또 심플 로고 레터링 반팔 티셔츠 (5COLOR) (LRAMCTR507P)
5973745,0.9960,디스커버리 익스페디션,여성 프레시벤트 레터링 세미크롭 링거티셔츠 (WHITE)
6171410,0.9959,게스,2color 피그먼트 반팔 티셔츠 OQ2K5452
5973739,0.9958,디스커버리 익스페디션,여성 프레시벤트 레터링 세미크롭 링거티셔츠 (D/IVORY)
2010540,0.9957,어퍼스트로피 콤마,슬리브 포인트 무지 긴팔티셔츠 (네이비)
6134951,0.9957,스노우피크 어패럴,퀵드라이 여성 베이직 반팔 티셔츠 (S26MWTTS13) Off White
5823200,0.9956,르꼬끄,유니 기능성 반팔티 - 화이트 블루 QR123ERS12
5905711,0.9956,디스커버리 익스페디션,여성 프레시벤트 로건 반팔티셔츠 (BLACK)
6139732,0.9956,디스커버리 익스페디션,여성 시어서커 우븐 반팔티셔츠 (Peach)
6270168,0.9956,체이스컬트,공용 레트로 그래픽 반팔 티셔츠-FBZU5804C0E
6060050,0.9955,데상트골프,남여공용 등판 그래픽 카라 반팔 티셔츠  DR22MFTS4L
6087410,0.9955,디스커버리 익스페디션,여성 러닝 슬리브리스 (WHITE)
1993834,0.9954,모빈스알,PENNA BLING TOP NEON PINK
5457160,0.9954,엠페브,잉크드 로맨스 홀터 넥 탑 베이지
6350985,0.9954,스핏싯,Code Remediation 티셔츠 5 COLOR
4205428,0.9953,어뉴브로스,바네사 세미크롭 트랙 반팔티셔츠 6 Color [ANSE_6001]
5025066,0.9953,티메이커,그래픽 링거 티셔츠 LGR
5050442,0.9953,체이스컬트,공용 쿨 라운드 반팔 티셔츠-옐로우
5930563,0.9953,디스커버리 익스페디션,여성 프레시벤트 에센셜 링거티셔츠 (BLACK)
6322232,0.9953,이피티,PUFF SLEEVE TOP (WHITE)
4708408,0.9952,시티브리즈,루싱 디테일 긴팔 티셔츠_WHITE
5940156,0.9952,디스커버리 익스페디션,여성 에버딘 스몰로고 반팔티셔츠 (L/PINK)
6017600,0.9952,다운블로우,여성 골프웨어 쿨링 라인배색 카라 반팔 티셔츠 DBC 1915W
4960069,0.9951,베이직하우스,면20수 레귤러핏 반팔티셔츠 스카이블루 LATS0115
5196772,0.9951,프로-스펙스,자카드 통기 러닝 반팔 티셔츠
5430310,0.9951,언타이틀 서울,노 아이디어 롱슬리브 화이트
6190380,0.9951,휠라,Drywave 등판 그래픽 기능성 반팔티(FS262RS02X004007)
6524865,0.9951,아레나,솔라이트 여성 반팔 티셔츠 A6ML1RT01LYL
4061773,0.9950,더바이닐하우스,STAR TEE WHITE (VH2EMUT507A)
5043867,0.9950,챈세스노이,오브리크 라인 반팔티셔츠 화이트/W251TP06WH
5905715,0.9950,디스커버리 익스페디션,여성 프레시벤트 로건 반팔티셔츠 (WHITE)
5914733,0.9950,디스커버리 익스페디션,유니 프레시벤트 세미오버핏 스몰로고 반팔티셔츠 (BLACK)
6754885,0.9950,크림소다랩,씨알에스디엘 스몰 로고 가먼트 다잉 피그먼트 반팔 티셔츠 스모키 차콜 화이트
3972184,0.9949,디써티원,Small Logo Pigment-Dyed T-shirt (LAVENDER)
5963336,0.9948,디스커버리 익스페디션,유니 아플리케 반팔티셔츠 (D/NAVY)
6211300,0.9948,낫유즈얼,엔젤스타 오버핏 반팔티 4color
6190398,0.9947,휠라,Coldwave 에센셜 소로나 반팔티(FS262RS02X012191)
6253145,0.9947,르꼬끄,유니 초냉감 반팔티 - 민트 QR223ERS52
