goods_no,p_female,brand_name,title
6084637,0.0067,갈렉스,풋볼 트레이닝 슬리브리스 져지 블랙 GA6630 BK
6789810,0.0068,몬츄라,믹스 업 티셔츠 남성 반팔 등산 아웃도어 기능성 MTGN61X24193
5864053,0.0071,에이치덱스,파인 모션 와플 숏 슬리브 (Greige)
5101127,0.0075,디쏘에이치,썬더 로고  타이트 슬리브리스 남여공용 나시 블랙
5945742,0.0075,엄브로,PTR 풋볼 트레이닝 긴팔 티셔츠 라이트 그레이 UR121SRL39
5732956,0.0088,룰루레몬,메탈 벤트 테크 슬리브리스 셔츠 *업데이트 핏  GGRE BLK
4214632,0.0092,어퍼스트롭 골프,[UP4009] UPST GOLF 남성 스트라이프 카라 니트 베이지
5945744,0.0092,엄브로,PTR 풋볼 트레이닝 긴팔 티셔츠 블랙 UR121SRL39
4021079,0.0098,세르지오 타키니,M 데일리 와플 반팔 티셔츠 (Navy)
5586005,0.0098,젝시믹스,트리코트 맨즈 스탠다드핏 셔츠 XMK3HC1105
5101129,0.0102,디쏘에이치,썬더 로고  타이트 슬리브리스 남여공용 나시 그레이
5957041,0.0102,살로몬,브이맥스 센시핏 탱크_LD0085700
5969387,0.0103,엔타이어 스튜디오,(W) 미니 티셔츠 그레이 마를 MINI TEE GREY MARLE
6833150,0.0103,산타밀라노폴로클럽,SMPC 롱 슬리브 티셔츠 그린스트라이프
6939176,0.0105,녹족,녹스 브이넥 짐 반팔티
5493308,0.0107,젝시믹스,소프트 릴렉스 오버핏 맨즈 롱슬리브 XMK3TL1103
5864054,0.0107,에이치덱스,파인 모션 와플 숏 슬리브 (Black)
5945746,0.0109,엄브로,PTR 풋볼 트레이닝 하프집업 블랙 UR121SFS39
5101123,0.0115,디쏘에이치,스트릿 로고 자수 타이트 슬리브리스 남여공용 나시 블랙
6799402,0.0115,언더아머,UA 헤비웨이트 메탈 로고6013618-008
1593451,0.0118,이지요가,레스피로 헤이즈티[YWE2001004B3]
5163705,0.0118,왁,PLAYER S EDITION Pattern SS Polo_WMTCM25209BKX
6834294,0.0119,산타밀라노폴로클럽,SMPC 코튼 블렌디드 폴로티셔츠 레드
6166470,0.0120,다운블로우,남성 스포츠 에어로쿨 라운딩 카라 반팔 티셔츠 DB 5111M
3604781,0.0122,매버릭,MVR 로고 와이드 U넥 루즈핏 긴팔티셔츠 그레이
6714564,0.0122,몬츄라,프레쉬 라이트 티셔츠 남성 등산 반팔 기능성 아웃도어
1593435,0.0124,이지요가,레스피로 헤이즈티[YWE2001004W08]
5084536,0.0125,클로브,[25SS clove] Solid Pique T-shirt_Men (Light Grey)
6768078,0.0125,몬츄라,베르산테 티셔츠 남성 반팔 아웃도어 기능성 여행 MTGN70X780
3208981,0.0128,알브이디,에어리 모달 오버핏 롱슬리브 (네이비)
5367252,0.0128,젝시믹스,매직텐션 맨즈 모던 스탠다드핏 셔츠 XMK3HC1101
5373662,0.0129,그린버터,Pigment No.08 Tee (Charcoal)
6849953,0.0130,산타밀라노폴로클럽,SMPC 반팔 피케 폴로셔츠 블루
4021080,0.0131,세르지오 타키니,M 데일리 와플 반팔 티셔츠 (White)
6125493,0.0131,다운블로우,남성 스포츠 메쉬 카라 반팔 티셔츠 DB 5112M
6124640,0.0133,스파이더,공용 프리코트 트랙탑 집업 SPLPCNFT001UCMG
6124672,0.0133,스파이더,공용 프리코트 트랙탑 집업 SPLPCNFT001UWHT
6832672,0.0134,산타밀라노폴로클럽,SMPC 롱 슬리브 티셔츠 다크네이비
5888228,0.0135,에이치덱스,액티브 매쉬 스티치 롱 슬리브 (Navy)
5101128,0.0136,디쏘에이치,썬더 로고  타이트 슬리브리스 남여공용 나시 화이트
6939172,0.0137,녹족,맥스 러닝 쿨 반팔티
5196869,0.0142,젤라또 피케,[MEN] [접촉 냉감] COOL 레이온 셔츠 PMCT252372
6320715,0.0143,본투윈,FULL MESH JERSEY T-SHIRTS [BLACK]
5174017,0.0145,스컬피그,SMT25028-01 소로나 맨즈 슬리브리스 블랙
5378706,0.0145,어널로이드,다이드 아가일 롱슬리브 티셔츠 / 차콜
5945747,0.0146,엄브로,PTR 풋볼 트레이닝 하프집업 블루 UR121SFS39
6834345,0.0146,산타밀라노폴로클럽,SMPC 코튼 블렌디드 폴로티셔츠 블루
3762348,0.0147,어프레쉬,에어메쉬 슬리브리스_블루 (러닝 스윔 헬스)
5101124,0.0147,디쏘에이치,스트릿 로고 자수 타이트 슬리브리스 남여공용 나시 화이트
5433682,0.0147,젝시믹스,플렉스 우븐 맨즈 폴로 롱슬리브 XMK3QL1201
6320685,0.0149,르꼬끄,유니 시어서커 루즈핏 반팔 피스테 - 크림 QR223LWT61
6833220,0.0150,산타밀라노폴로클럽,SMPC 롱 슬리브 티셔츠 다크그린스트라이프
5458227,0.0151,젝시믹스,웜 트리코트 맨즈 스트링 후디 XMK4TL1001
2657612,0.0153,러브포티,LOGO HOODIE (MEN) BROWN
