# C구간(여성 라벨 착용샷 62,671개 / 1,120시트). 형식: 시트|기본판정|예외(번호:판정)
# M=남성 단독(제외 후보), X=혼성, F=여성/모델없음
1|M|
2|M|
3|M|113:F 143:F
4|M|
5|M|259:F
6|M|
7|M|388:F
8|M|423:F 445:F
9|M|451:F 467:F 479:F 502:F
10|M|508:F 515:F 528:F 532:F 536:F 558:F
11|M|563:F 583:F 589:F 590:F 602:F 606:F 611:F 614:F
12|M|617:F 619:F 623:F 625:F 626:F 627:F 631:F 633:F 634:F 636:F 638:F 639:F 641:F 645:F 648:F 652:F 654:F 659:F 662:X 663:F 666:F 667:F 669:X 670:X
13|M|673:F 674:F 675:F 677:F 679:F 680:F 687:F 688:F 690:F 695:F 696:F 699:F 700:F 701:F 702:F 703:F 704:F 709:F 713:F 714:F 715:F 719:F 720:F 721:F 723:F 728:F
14|M|732:F 733:X 739:F 742:F 747:F 748:X 755:F 756:X 760:F 761:F 763:F 765:F 769:X 770:F 774:F 779:F
15|F|787:M 788:M 789:M 790:M 791:M 792:M 795:M 796:M 797:M 798:M 800:M 801:M 803:M 806:M 808:M 811:M 813:M 814:M 815:M 824:M 828:M 831:M 834:M 835:M 836:M 838:M 839:M
16|F|847:M 857:M 858:M 862:M 882:M 887:M 896:M
17|F|897:X 898:M 899:M 900:M 907:M 917:M 919:M 922:M 929:M 930:M 934:M 939:M 940:M 946:M 947:M 950:M 951:M
18|F|960:M 966:M 967:M
19|F|1009:M 1013:M 1014:X 1015:X 1028:M
20|F|1070:X
21|F|1129:X 1142:X 1148:X 1176:X
22|F|1222:X 1232:X
23|F|
24|F|1301:X 1311:X 1323:X
25|F|
26|F|1405:X
27|F|
28|F|1534:X
29|F|1573:X 1577:M
30|F|1632:X 1640:X
31|F|
32|F|
33|F|
34|F|
35|F|
36|F|
37|F|
38|F|
39|F|
40|F|
41|F|
42|F|2302:X
43|F|2383:X
44|F|
45|F|
46|F|
47|F|
48|F|
49|F|
50|F|
51|F|2819:X
52|F|
53|F|
54|F|
55|F|3033:M
56|F|
57|F|
58|F|
59|F|
60|F|3358:X
61|F|
62|F|
63|F|
64|F|3604:X
65|F|
66|F|
67|F|
68|F|
69|F|
70|F|
71|F|
72|F|
73|F|
74|F|
75|F|
76|F|
77|F|
78|F|
79|F|
80|F|
81|F|
82|F|
83|F|
84|F|
85|F|
86|F|
87|F|
88|F|
89|F|
90|F|
91|F|
92|F|
93|F|
94|F|
95|F|
96|F|
