구간,라벨,goods_no,판정,의미,p_female,브랜드,상품명
선행,남성,1933076,M,동성·모델없음(유지),0.9835,칸6312,KTC0024 진실의눈 반팔티셔츠 - 베이지
선행,남성,3381057,M,동성·모델없음(유지),0.9828,칸6312,KTPP0186 테드만 피그먼트 반팔티셔츠 - 핑크
선행,남성,3327414,M,동성·모델없음(유지),0.9823,칸6312,KSB0186 테드만 롱슬리브리스 - 블랙
선행,남성,3248527,M,동성·모델없음(유지),0.9816,칸6312,KTN0186 테드만 반팔 티셔츠 네이비
선행,남성,3248552,M,동성·모델없음(유지),0.9812,칸6312,KTG0186 테드만 반팔 티셔츠 그레이
선행,남성,1634518,M,동성·모델없음(유지),0.9797,돌돌,Lily-tshirts-23 러블리 릴리 여자 북극곰 스노우보드 선수 익스트림 캐릭터 그래픽 디자인 티셔츠 티
선행,남성,3381060,M,동성·모델없음(유지),0.9793,칸6312,KTPN0186 테드만 피그먼트 반팔티셔츠 - 블루
선행,남성,2225136,M,동성·모델없음(유지),0.9789,칸6312,KHC0024 진실의눈 기모 후드 - 크림
선행,남성,5299386,M,동성·모델없음(유지),0.9780,돌돌,SHARK-DOG_tshirts-179 샤크독 서핑 하와이 그래픽 티셔츠 반팔티
선행,남성,3248570,M,동성·모델없음(유지),0.9767,칸6312,KTC0186 테드만 반팔 티셔츠 베이지
선행,남성,2944602,M,동성·모델없음(유지),0.9756,칸6312,KHC0186 테드만 기모 후드 크림
선행,남성,2225115,M,동성·모델없음(유지),0.9746,칸6312,KHG0024 진실의눈 기모 후드 - 그레이
선행,남성,3248434,M,동성·모델없음(유지),0.9742,칸6312,KTB0186 테드만 반팔 티셔츠 블랙
선행,남성,5277341,M,동성·모델없음(유지),0.9733,돌돌,SHARK-DOG_tshirts-163 샤크독 서핑 하와이 그래픽 티셔츠 반팔티
선행,남성,4052127,M,동성·모델없음(유지),0.9729,돌돌,WOOPS-T-67  스케이트보드 고양이 웁스 캐릭터 그래픽티셔츠
선행,남성,998835,M,동성·모델없음(유지),0.9724,메리제임스,[남녀공용-오버핏] MINUET HALF SLEEVE (6 COLOR)
선행,남성,2944601,M,동성·모델없음(유지),0.9720,칸6312,KHB0186 테드만 기모 후드 블랙
선행,남성,3327281,M,동성·모델없음(유지),0.9713,돌돌,FICO_tshirts-200 익스트림 낚시 브랜드 피코 시즌2 캐릭터 그래픽 디자인 티셔츠
선행,남성,4259547,M,동성·모델없음(유지),0.9713,언더에어,WATER HALF SLEEVE - BURGUNDY
선행,남성,1948216,M,동성·모델없음(유지),0.9711,맥나인도씨,심플 레터링 오버핏 티셔츠_블랙
선행,남성,998865,M,동성·모델없음(유지),0.9703,메리제임스,[남녀공용-오버핏] CHALLENGER HALF SLEEVE (6 COLOR)
선행,남성,4080711,M,동성·모델없음(유지),0.9703,돌돌,WOOPS-T-79  스케이트보드 고양이 웁스 캐릭터 그래픽티셔츠
선행,남성,3241942,M,동성·모델없음(유지),0.9697,칸6312,KTC0185 큐티걸스 반팔 티셔츠 베이지
선행,남성,4224928,M,동성·모델없음(유지),0.9694,돌돌,WOOPS-T-126  스케이트보드 고양이 웁스 캐릭터 그래픽티셔츠
선행,남성,5897273,M,동성·모델없음(유지),0.9687,그루브라임,18수 덤비베어 와펜 반팔 티셔츠 (5COLOR) (LRBMCTR703M)
선행,남성,1933061,M,동성·모델없음(유지),0.9685,칸6312,KTC0023 치카노퀸 반팔티셔츠 - 베이지
선행,남성,1968185,M,동성·모델없음(유지),0.9674,칸6312,KTW0059 숭배 반팔티셔츠 - 화이트
선행,남성,3327914,M,동성·모델없음(유지),0.9669,칸6312,KSB0191 마리아 롱슬리브리스 - 블랙
선행,남성,2944599,M,동성·모델없음(유지),0.9666,칸6312,KHG0186 테드만 기모 후드 그레이
선행,남성,3248396,M,동성·모델없음(유지),0.9663,칸6312,KTW0186 테드만 반팔 티셔츠 화이트
선행,남성,2936944,M,동성·모델없음(유지),0.9652,칸6312,KHC0185 큐티걸스 기모 후드 크림
선행,남성,4104001,M,동성·모델없음(유지),0.9651,돌돌,WOOPS-T-93  스케이트보드 고양이 웁스 캐릭터 그래픽티셔츠
선행,남성,5940676,M,동성·모델없음(유지),0.9649,리그,유니 바라클라바 그리드메쉬 시계홀 긴팔티셔츠_WH R1TS2106
선행,남성,2961345,M,동성·모델없음(유지),0.9645,칸6312,KHC0191 마리아 기모 후드 크림
