gender,ord,goods_no,프린트,brand_name,title,review_count
여성,1,1417691,무지,무신사 스탠다드 우먼,우먼즈 베이식 크루 넥 티셔츠 [화이트],30682
여성,2,4077474,그래픽,와이케이,말티즈 구름 메쉬 져지 반팔티셔츠 스카이블루,213
여성,3,3867736,그래픽,로우클래식,LOVE PARK T-SHIRT_CHARCOAL_LC251TS14CC,940
여성,4,4055683,레터링,아메스 월드와이드,ROUND HEM CROP TEE (7 color),2391
여성,5,3067178,그래픽,러브이즈트루,DN STAR LOGO TEE(PINK),3266
여성,6,4012746,레터링,스컬프터,Archive Pigment Baby Tee Dusty Blue,598
여성,7,3178656,레터링,러브이즈트루,VS 3 RABBIT TEE(GREEN),771
여성,8,5128285,그래픽,셋업이엑스이,BABY WIDE NECK TOP / WHITE,382
여성,9,3125763,레터링,마리떼 프랑소와 저버,W RAGLAN REGULAR LOGO TEE navy,730
여성,10,3851905,그래픽,론론,BIG RIBBON LINE T SHIRT BLACK CREAM,197
여성,11,3159518,그래픽,벤힛,HONEY 크롭 반팔티,191
여성,12,2647827,레터링,어썸스튜디오,서클 심볼 슬림 반팔티 화이트,1923
남성,1,2086653,무지,무신사 스탠다드,레이어드 크루 넥 티셔츠_일반 기장 [화이트],75169
남성,2,4973427,레터링,에이치덱스,자이언트핏 85 매쉬 숏 슬리브 3 color,954
남성,3,1838936,레터링,언더아머,히트기어 아머 컴프레션 반팔 1361518-090,1051
남성,4,1855624,그래픽,크림소다랩,캠핑 클럽 반팔티 화이트,221
남성,5,3260167,그래픽,그레일즈,MULTI LOGO T-SHIRTS [CHARCOAL],336
남성,6,4946358,무지,프리덤,에센셜 오버핏 티셔츠_2color,967
남성,7,2451587,무지,플루크,어드벤쳐 트럭커 포켓 반팔티셔츠 네이비 FST141,114
남성,8,2225780,무지,에이치덱스,메인로고 머슬핏 반팔티,1739
남성,9,5915554,무지,무신사 스탠다드,더블 스트라이프 링거 티셔츠 [블랙/아이보리],314
남성,10,3325849,그래픽,메종미네드,STICKY HALF T BLACK,644
남성,11,3901716,무지,어반디타입,풋볼 져지 티셔츠_핑크,1904
남성,12,6183520,무지,언타이틀 서울,유니콘 타이포 링거 크롭 반팔 네이비,368
